Key	Source	SourceType	Name	EdgeType	Target
128	Study	Record	Contacts	Many	Person
129	Study	Record	StudyDesignDescriptors	Many	OntologyAnnotation
130	Study	Record	Protocols	Many	Protocol
131	Study	Record	Materials	Single	StudyMaterials
132	Study	Record	ProcessSequence	Many	Process
133	Study	Record	Assays	Many	Assay
134	Study	Record	Factors	Many	Factor
135	Study	Record	CharacteristicCategories	Many	MaterialAttribute
136	Study	Record	UnitCategories	Many	OntologyAnnotation
137	Study	Record	Comments	Many	Comment
138	Investigation	Record	ID	Single	String
139	Investigation	Record	FileName	Single	String
140	Investigation	Record	Identifier	Single	String
141	Investigation	Record	Title	Single	String
142	Investigation	Record	Description	Single	String
143	Investigation	Record	SubmissionDate	Single	String
144	Investigation	Record	PublicReleaseDate	Single	String
145	Investigation	Record	OntologySourceReferences	Many	OntologySourceReference
146	Investigation	Record	Publications	Many	Publication
147	Investigation	Record	Contacts	Many	Person
148	Investigation	Record	Studies	Many	Study
149	Investigation	Record	Comments	Many	Comment
150	Investigation	Record	Remarks	Many	
